Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.4,0.0,0.4,1.0,0.99199355,1.0,0.9959842
0.002,34.4037,0.40000004,0.4,-5.8987403e-12,0.4,1.0,0.99199355,1.0,0.9959842
0.004,34.4037,0.40000004,0.4,-1.17956495e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.006,34.4037,0.40000004,0.4,-1.7689466e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.008,34.4037,0.40000004,0.4,-2.3578943e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.01,34.4037,0.40000004,0.4,-2.9462845e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.012,34.4037,0.40000004,0.4,-3.5339953e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.014,34.4037,0.40000004,0.4,-4.120906e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.016,34.4037,0.40000004,0.4,-4.7068974e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.018,34.4037,0.40000004,0.4,-5.2918513e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.02,34.4037,0.40000004,0.4,-5.8756514e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.022,34.4037,0.40000004,0.4,-6.458181e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.024,34.4037,0.40000004,0.4,-7.039328e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.026,34.4037,0.40000004,0.4,-7.6189784e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.028,34.4037,0.40000004,0.4,-8.19702e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.03,34.4037,0.40000004,0.4,-8.773344e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.032,34.4037,0.40000004,0.4,-9.3478406e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.034,34.4037,0.40000004,0.4,-9.920402e-11,0.4,1.0,0.99199355,1.0,0.9959842
0.036,34.4037,0.40000004,0.4,-1.0490922e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.038,34.4037,0.40000004,0.4,-1.10592945e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.04,34.4037,0.40000004,0.4,-1.1625416e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.042,34.4037,0.40000004,0.4,-1.2189183e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.044,34.4037,0.40000004,0.4,-1.2750495e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.046,34.4037,0.40000004,0.4,-1.330925e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.048,34.4037,0.40000004,0.4,-1.386535e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.05,34.4037,0.40000004,0.4,-1.4418697e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.052,34.4037,0.40000004,0.4,-1.4969193e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.054,34.4037,0.40000004,0.4,-1.5516742e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.056,34.4037,0.40000004,0.4,-1.6061252e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.058,34.4037,0.40000004,0.4,-1.6602628e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.06,34.4037,0.40000004,0.4,-1.7140778e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.062,34.4037,0.40000004,0.4,-1.767561e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.064,34.4037,0.40000004,0.4,-1.8207037e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.066,34.4037,0.40000004,0.4,-1.8734968e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.068,34.4037,0.40000004,0.4,-1.9259318e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.07,34.4037,0.40000004,0.4,-1.9779997e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.072,34.4037,0.40000004,0.4,-2.0296925e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.074,34.4037,0.40000004,0.4,-2.0810015e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.076,34.4037,0.40000004,0.4,-2.1319184e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.078,34.4037,0.40000004,0.4,-2.1824353e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.08,34.4037,0.40000004,0.4,-2.232544e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.082,34.4037,0.40000004,0.4,-2.2822366e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.084,34.4037,0.40000004,0.4,-2.3315053e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.086,34.4037,0.40000004,0.4,-2.3803426e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.088,34.4037,0.40000004,0.4,-2.4287408e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.09,34.4037,0.4,0.4,-2.4766925e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.092,34.4037,0.4,0.4,-2.5241906e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.094,34.4037,0.4,0.4,-2.5712274e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.096,34.4037,0.4,0.4,-2.6177963e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.098,34.4037,0.4,0.4,-2.66389e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.1,34.4037,0.4,0.4,-2.7095018e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.102,34.4037,0.4,0.4,-2.7546251e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.104,34.4037,0.4,0.4,-2.7992533e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.106,34.4037,0.4,0.4,-2.84338e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.108,34.4037,0.4,0.4,-2.8869984e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.11,34.4037,0.4,0.4,-2.9301028e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.112,34.4037,0.4,0.4,-2.9726865e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.114,34.4037,0.4,0.4,-3.0147443e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.116,34.4037,0.4,0.4,-3.0562694e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.118,34.4037,0.4,0.4,-3.097257e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.12,34.4037,0.4,0.4,-3.1377007e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.122,34.4037,0.4,0.4,-3.177595e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.124,34.4037,0.4,0.4,-3.216935e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.126,34.4037,0.4,0.4,-3.2557154e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.128,34.4037,0.4,0.4,-3.2939307e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.13,34.4037,0.4,0.4,-3.3315758e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.132,34.4037,0.4,0.4,-3.3686462e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.134,34.4037,0.4,0.4,-3.405137e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.136,34.4037,0.4,0.4,-3.4410433e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.138,34.4037,0.4,0.4,-3.476361e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.14,34.4037,0.4,0.4,-3.511085e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.142,34.4037,0.4,0.4,-3.5452116e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.144,34.4037,0.4,0.4,-3.5787362e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.146,34.4037,0.4,0.4,-3.6116551e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.148,34.4037,0.4,0.4,-3.6439643e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.15,34.4037,0.4,0.4,-3.6756598e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.152,34.4037,0.4,0.4,-3.7067377e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.154,34.4037,0.4,0.4,-3.737195e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.156,34.4037,0.4,0.4,-3.767028e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.158,34.4037,0.4,0.4,-3.7962333e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.16,34.4037,0.4,0.4,-3.8248077e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.162,34.4037,0.4,0.4,-3.852748e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.164,34.4037,0.4,0.4,-3.8800516e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.166,34.4037,0.4,0.4,-3.9067152e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.168,34.4037,0.4,0.4,-3.9327364e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.17,34.4037,0.4,0.4,-3.9581124e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.172,34.4037,0.4,0.4,-3.982841e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.174,34.4037,0.4,0.4,-4.0069198e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.176,34.4037,0.4,0.4,-4.030346e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.178,34.4037,0.4,0.4,-4.053118e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.18,34.4037,0.4,0.4,-4.075234e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.182,34.4037,0.4,0.4,-4.0966916e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.184,34.4037,0.4,0.4,-4.117489e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.186,34.4037,0.4,0.4,-4.1376252e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.188,34.4037,0.4,0.4,-4.1570983e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.19,34.4037,0.4,0.4,-4.1759066e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.192,34.4037,0.4,0.4,-4.1940493e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.194,34.4037,0.4,0.4,-4.2115247e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.196,34.4037,0.4,0.4,-4.2283324e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.198,34.4037,0.4,0.4,-4.2444712e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.2,34.4037,0.4,0.4,-4.25994e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.202,34.4037,0.4,0.4,-4.2747383e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.204,34.4037,0.4,0.4,-4.288866e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.206,34.4037,0.4,0.4,-4.3023218e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.208,34.4037,0.4,0.4,-4.3151058e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.21,34.4037,0.4,0.4,-4.3272178e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.212,34.4037,0.4,0.4,-4.3386575e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.214,34.4037,0.4,0.4,-4.349425e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.216,34.4037,0.4,0.4,-4.3595205e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.218,34.4037,0.4,0.4,-4.3689444e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.22,34.4037,0.4,0.4,-4.3776963e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.222,34.4037,0.4,0.4,-4.3857776e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.224,34.4037,0.4,0.4,-4.393188e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.226,34.4037,0.4,0.4,-4.3999288e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.228,34.4037,0.4,0.4,-4.4060006e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.23,34.4037,0.4,0.4,-4.411404e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.232,34.4037,0.4,0.4,-4.4161405e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.234,34.4037,0.4,0.4,-4.4202111e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.236,34.4037,0.4,0.4,-4.4236168e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.238,34.403698,0.4,0.4,-4.426359e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.24,34.403698,0.4,0.4,-4.4284396e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.242,34.403698,0.4,0.4,-4.4298593e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.244,34.403698,0.4,0.4,-4.4306203e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.246,34.403698,0.4,0.4,-4.4307244e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.248,34.403698,0.4,0.4,-4.4301735e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.25,34.403698,0.4,0.4,-4.4289694e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.252,34.403698,0.4,0.4,-4.427114e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.254,34.403698,0.4,0.4,-4.4246098e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.256,34.403698,0.4,0.4,-4.421459e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.258,34.403698,0.4,0.4,-4.417664e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.26,34.403698,0.4,0.4,-4.4132273e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.262,34.403698,0.4,0.4,-4.4081513e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.264,34.403698,0.4,0.4,-4.402439e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.266,34.403698,0.4,0.4,-4.396093e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.268,34.403698,0.4,0.4,-4.389116e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.27,34.403698,0.4,0.4,-4.3815113e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.272,34.403698,0.4,0.4,-4.3732817e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.274,34.403698,0.4,0.4,-4.3644308e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.276,34.403698,0.4,0.4,-4.3549614e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.278,34.403698,0.4,0.4,-4.3448772e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.28,34.403698,0.4,0.4,-4.3341813e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.282,34.403698,0.4,0.4,-4.3228776e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.284,34.403698,0.4,0.4,-4.3109694e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.286,34.403698,0.4,0.4,-4.2984608e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.288,34.403698,0.4,0.4,-4.2853554e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.29,34.403698,0.4,0.4,-4.271657e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.292,34.403698,0.4,0.4,-4.2573697e-10,0.4,1.0,0.99199355,1.0,0.9959842
0.294,34.403698,0.4,0.4,-4.2424977e-10,0.4,1.0,0.99199355,1.0,0.9959842
