Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.40003676141094724,0.4,0.0,0.4,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.4000367614109471,0.4,-4.621556879298497e-16,0.4,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.4000367614109471,0.4,-4.621556879298497e-16,0.4,0.9999942019109368,0.9919898458682376,0.9999975974033132,0.9959811372603907
0.002,28.84967939950144,0.4000367573379308,0.4000000000000021,-9.18955354306065e-09,0.4000000000000021,0.9999942020206909,0.9919898459602399,0.9999975974578627,0.9959811373326302
0.004,28.84967890330678,0.4000367451731479,0.40000000000003233,-1.8376156841739172e-08,0.40000000000003233,0.9999942023472719,0.991989846234294,0.9999975976202999,0.9959811375477801
0.006,28.849678076477726,0.4000367249974146,0.40000000000016245,-2.755779745295302e-08,0.40000000000016245,0.9999942028866186,0.9919898466874514,0.9999975978887953,0.9959811379034722
0.008,28.84967691922885,0.4000366968908142,0.40000000000051,-3.6732483221532196e-08,0.40000000000051,0.9999942036346208,0.9919898473167386,0.9999975982614999,0.995981138397316
0.01,28.849675431846077,0.40003666093275314,0.4000000000012372,-4.58982420905978e-08,0.4000000000012372,0.9999942045871274,0.9919898481191625,0.9999975987365519,0.995981139026904
0.012,28.849673614685987,0.40003661720200967,0.4000000000025493,-5.5053121925536145e-08,0.4000000000025493,0.9999942057399505,0.9919898490917123,0.9999975993120761,0.9959811397898134
0.014,28.849671468175057,0.4000365657767837,0.40000000000469316,-6.419519035080987e-08,0.40000000000469316,0.9999942070888725,0.9919898502313627,0.9999975999861868,0.9959811406836089
0.016,28.84966899280899,0.40003650673474384,0.400000000007956,-7.332253459885659e-08,0.400000000007956,0.9999942086296505,0.9919898515350771,0.9999976007569898,0.9959811417058453
0.018,28.849666189151996,0.40003644015307094,0.40000000001266367,-8.243326137106812e-08,0.40000000001266367,0.999994210358021,0.9919898529998099,0.9999976016225843,0.9959811428540685
0.02,28.849663057836093,0.40003636610850124,0.40000000001917957,-9.152549670974712e-08,0.40000000001917957,0.9999942122697053,0.9919898546225092,0.9999976025810642,0.9959811441258193
0.022,28.849659599560407,0.4000362846773664,0.4000000000279035,-1.0059738588094844e-07,0.4000000000279035,0.9999942143604127,0.9919898564001183,0.9999976036305199,0.9959811455186345
0.024,28.849655815090507,0.4000361959356324,0.4000000000392695,-1.0964709326732649e-07,0.4000000000392695,0.9999942166258455,0.9919898583295791,0.9999976047690401,0.9959811470300487
0.026,28.849651705257696,0.40003609995893663,0.4000000000537456,-1.1867280227108081e-07,0.4000000000537456,0.9999942190617017,0.9919898604078332,0.9999976059947128,0.9959811486575959
0.028,28.84964727095832,0.4000359968226221,0.4000000000718317,-1.2767271522590856e-07,0.4000000000718317,0.9999942216636799,0.9919898626318239,0.9999976073056264,0.9959811503988113
