Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849679564919217,0.4000367614109469,0.3999995,0.0,0.3999995,0.9999942019109366,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.4000367614109468,0.39999950000000006,-4.684415589049349e-16,0.39999950000000006,0.9999942019109367,0.9919898458682376,0.9999975974033132,0.9959811372603907
1.0058283805847169e-10,28.84967956491921,0.4000367614109468,0.39999950000000006,-4.684415589049349e-16,0.39999950000000006,0.9999942019109367,0.9919898458682376,0.9999975974033132,0.9959811372603907
0.002,28.849679397251556,0.4000367572825324,0.3999995000030857,-9.314542479497515e-09,0.3999995000030857,0.9999942020221835,0.9919898459614911,0.9999975974586045,0.9959811373336125
0.004,28.849678894308084,0.4000367449522948,0.39999950002453066,-1.862609190424423e-08,0.39999950002453066,0.9999942023532065,0.9919898462392727,0.9999975976232514,0.995981137551689
0.006,28.849678056233433,0.4000367245021539,0.3999995000822713,-2.7932601634620786e-08,0.3999995000822713,0.9999942028998886,0.9919898466985932,0.9999975978953982,0.9959811379122187
0.008,28.849676883245625,0.4000366960132959,0.3999995001937875,-3.723204119502471e-08,0.3999995001937875,0.999994203658064,0.9919898473364391,0.9999975982731719,0.9959811384127789
0.01,28.8496753756355,0.4000366595662312,0.3999995003761084,-4.652239620946824e-08,0.3999995003761084,0.9999942046235238,0.9919898481497753,0.9999975987546842,0.9959811390509288
0.012,28.84967353376611,0.40003661524085016,0.3999995006458176,-5.580166835010789e-08,0.3999995006458176,0.9999942057920227,0.9919898491355496,0.9999975993380341,0.995981139824212
0.014,28.84967135807217,0.40003656311647495,0.3999995010190588,-6.506787529779919e-08,0.3999995010190588,0.9999942071592838,0.991989850290694,0.9999976000213098,0.9959811407301591
0.016,28.849668849059483,0.40003650327191176,0.39999950151154107,-7.431905071428093e-08,0.39999950151154107,0.9999942087210042,0.9919898516121288,0.9999976008025896,0.9959811417662898
0.018,28.849666007304325,0.4000364357854971,0.3999995021385441,-8.35532442256028e-08,0.3999995021385441,0.9999942104728602,0.9919898530967647,0.9999976016799458,0.9959811429301152
0.02,28.84966283345291,0.4000363607351456,0.3999995029149237,-9.276852141565141e-08,0.3999995029149237,0.9999942124105107,0.9919898547415051,0.9999976026514448,0.9959811442191404
0.022,28.849659328220813,0.40003627819839327,0.39999950385511646,-1.0196296382992269e-07,0.39999950385511646,0.9999942145296026,0.9919898565432486,0.9999976037151486,0.9959811456308654
0.024,28.84965549239238,0.4000361882524395,0.39999950497314535,-1.1113466898867349e-07,0.39999950497314535,0.9999942168257745,0.9919898584988904,0.9999976048691174,0.9959811471627881
0.026,28.849651326820148,0.40003609097418685,0.39999950628262465,-1.202817504090195e-07,0.39999950628262465,0.9999942192946601,0.9919898606053258,0.9999976061114101,0.9959811488124047
