Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334236,0.40000004,0.4000000059604645,0.0,1.4351069,1.0,0.99199355,1.0,0.9959842
0.002,34.334236,0.40000004,0.4000000059604645,-5.9711862e-12,1.4351069,1.0,0.99199355,1.0,0.9959842
0.004,34.334236,0.40000004,0.4000000059604645,-1.1940577e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.006,34.334236,0.40000004,0.4000000059604645,-1.7906954e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.008,34.334236,0.40000004,0.4000000059604645,-2.386911e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.01,34.334236,0.40000004,0.4000000059604645,-2.9825854e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.012,34.334236,0.40000004,0.4000000059604645,-3.5776007e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.014,34.334236,0.40000004,0.4000000059604645,-4.1718403e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.016,34.334236,0.40000004,0.4000000059604645,-4.7651893e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.018,34.334236,0.40000004,0.4000000059604645,-5.357533e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.02,34.334236,0.40000004,0.4000000059604645,-5.94876e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.022,34.334236,0.40000004,0.4000000059604645,-6.5387584e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.024,34.334236,0.40000004,0.4000000059604645,-7.1274174e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.026,34.334236,0.40000004,0.4000000059604645,-7.714629e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.028,34.334236,0.40000004,0.4000000059604645,-8.3002855e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.03,34.334236,0.40000004,0.4000000059604645,-8.8842794e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.032,34.334236,0.40000004,0.4000000059604645,-9.466507e-11,1.4351069,1.0,0.99199355,1.0,0.9959842
0.034,34.334236,0.40000004,0.4000000059604645,-1.0046863e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.036,34.334236,0.40000004,0.4000000059604645,-1.0625246e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.038,34.334236,0.40000004,0.4000000059604645,-1.1201552e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.04,34.334236,0.40000004,0.4000000059604645,-1.1775683e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.042,34.334236,0.40000004,0.4000000059604645,-1.2347538e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.044,34.334236,0.40000004,0.4000000059604645,-1.291702e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.046,34.334236,0.40000004,0.4000000059604645,-1.3484032e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.048,34.334236,0.40000004,0.4000000059604645,-1.4048478e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.05,34.334236,0.40000004,0.4000000059604645,-1.461026e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.052,34.334236,0.40000004,0.4000000059604645,-1.516929e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.054,34.334236,0.40000004,0.4000000059604645,-1.5725472e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.056,34.334236,0.40000004,0.4000000059604645,-1.6278714e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.058,34.334236,0.40000004,0.4000000059604645,-1.682893e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.06,34.334236,0.40000004,0.4000000059604645,-1.7376026e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.062,34.334236,0.40000004,0.4000000059604645,-1.7919917e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.064,34.334236,0.40000004,0.4000000059604645,-1.8460515e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.066,34.334236,0.40000004,0.4000000059604645,-1.8997735e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.068,34.334236,0.40000004,0.4000000059604645,-1.9531492e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.07,34.334236,0.40000004,0.4000000059604645,-2.0061701e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.072,34.334236,0.40000004,0.4000000059604645,-2.0588281e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.074,34.334236,0.40000004,0.4000000059604645,-2.1111152e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.076,34.334236,0.40000004,0.4000000059604645,-2.1630231e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.078,34.334236,0.40000004,0.4000000059604645,-2.2145441e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.08,34.334236,0.40000004,0.4000000059604645,-2.2656703e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.082,34.334236,0.40000004,0.4000000059604645,-2.316394e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.084,34.334236,0.40000004,0.4000000059604645,-2.3667077e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.086,34.334236,0.40000004,0.4000000059604645,-2.416604e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
0.088,34.334236,0.40000004,0.4000000059604645,-2.466075e-10,1.4351069,1.0,0.99199355,1.0,0.9959842
