Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,gAST.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849682,0.40003675,0.3999995,0.0,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.002,28.849682,0.40003675,0.3999995,-9.314887e-09,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.004,28.849678,0.40003675,0.3999995,-1.8626775e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.006,28.849678,0.40003672,0.3999995,-2.7933618e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.008,28.849678,0.4000367,0.3999995,-3.7233388e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.01,28.849674,0.40003666,0.3999995,-4.6524065e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.012,28.849674,0.4000366,0.3999995,-5.5803653e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.014,28.84967,0.40003657,0.3999995,-6.5070175e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.016,28.849667,0.4000365,0.3999995,-7.4321655e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.018,28.849667,0.40003642,0.3999995,-8.355615e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.02,28.849665,0.40003636,0.3999995,-9.277173e-08,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.022,28.84966,0.40003628,0.3999995,-1.0196646e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.024,28.849657,0.4000362,0.3999995,-1.1113845e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.026,28.849651,0.4000361,0.3999995,-1.2028582e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.028,28.849648,0.40003598,0.3999995,-1.2940667e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.03,28.849644,0.4000359,0.3999995,-1.3849919e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.032,28.849636,0.40003577,0.3999995,-1.475615e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.034,28.849634,0.40003562,0.3999995,-1.565918e-07,0.3999995,0.9999942,0.99198985,0.9999976,0.99598116
0.036,28.849627,0.4000355,0.39999953,-1.6558828e-07,0.39999953,0.9999942,0.99198985,0.9999976,0.99598116
0.038,28.849619,0.40003535,0.39999953,-1.7454916e-07,0.39999953,0.9999942,0.99198985,0.9999976,0.99598116
0.04,28.849613,0.4000352,0.39999953,-1.8347264e-07,0.39999953,0.9999942,0.99198985,0.9999976,0.99598116
0.042,28.849606,0.40003505,0.39999953,-1.9235698e-07,0.39999953,0.9999942,0.9919899,0.9999976,0.99598116
0.044,28.8496,0.4000349,0.39999953,-2.0120045e-07,0.39999953,0.9999943,0.9919899,0.9999976,0.99598116
0.046,28.849592,0.40003473,0.39999953,-2.1000132e-07,0.39999953,0.9999943,0.9919899,0.9999976,0.99598116
0.048,28.849586,0.40003455,0.39999953,-2.1875786e-07,0.39999953,0.9999943,0.9919899,0.9999976,0.99598116
0.05,28.849575,0.40003437,0.39999953,-2.2746842e-07,0.39999953,0.9999943,0.9919899,0.9999976,0.99598116
0.052,28.84957,0.4000342,0.39999956,-2.3613129e-07,0.39999956,0.9999943,0.9919899,0.9999976,0.99598116
0.054,28.849558,0.400034,0.39999956,-2.4474483e-07,0.39999956,0.9999943,0.9919899,0.9999976,0.99598116
