Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,36.640797,0.40000004,0.4000000059604645,0.0,1.0,0.99199355,1.0,0.9959842
0.002,36.640797,0.40000004,0.4000000059604645,-6.0704267e-12,1.0,0.99199355,1.0,0.9959842
0.004,36.640797,0.40000004,0.4000000059604645,-1.21390354e-11,1.0,0.99199355,1.0,0.9959842
0.006,36.640797,0.40000004,0.4000000059604645,-1.8204622e-11,1.0,0.99199355,1.0,0.9959842
0.008,36.640797,0.40000004,0.4000000059604645,-2.426602e-11,1.0,0.99199355,1.0,0.9959842
0.01,36.640797,0.40000004,0.4000000059604645,-3.0322092e-11,1.0,0.99199355,1.0,0.9959842
0.012,36.640797,0.40000004,0.4000000059604645,-3.637174e-11,1.0,0.99199355,1.0,0.9959842
0.014,36.640797,0.40000004,0.4000000059604645,-4.241389e-11,1.0,0.99199355,1.0,0.9959842
0.016,36.640797,0.40000004,0.4000000059604645,-4.8447493e-11,1.0,0.99199355,1.0,0.9959842
0.018,36.640797,0.40000004,0.4000000059604645,-5.4471535e-11,1.0,0.99199355,1.0,0.9959842
0.02,36.640797,0.40000004,0.4000000059604645,-6.048502e-11,1.0,0.99199355,1.0,0.9959842
0.022,36.640797,0.40000004,0.4000000059604645,-6.6486976e-11,1.0,0.99199355,1.0,0.9959842
0.024,36.640797,0.40000004,0.4000000059604645,-7.247646e-11,1.0,0.99199355,1.0,0.9959842
0.026,36.640797,0.40000004,0.4000000059604645,-7.845255e-11,1.0,0.99199355,1.0,0.9959842
0.028,36.640797,0.40000004,0.4000000059604645,-8.441432e-11,1.0,0.99199355,1.0,0.9959842
0.03,36.640797,0.40000004,0.4000000059604645,-9.0360906e-11,1.0,0.99199355,1.0,0.9959842
0.032,36.640797,0.40000004,0.4000000059604645,-9.629143e-11,1.0,0.99199355,1.0,0.9959842
0.034,36.640797,0.40000004,0.4000000059604645,-1.02205036e-10,1.0,0.99199355,1.0,0.9959842
0.036,36.640797,0.40000004,0.4000000059604645,-1.08100896e-10,1.0,0.99199355,1.0,0.9959842
0.038,36.640797,0.40000004,0.4000000059604645,-1.1397819e-10,1.0,0.99199355,1.0,0.9959842
0.04,36.640797,0.40000004,0.4000000059604645,-1.1983611e-10,1.0,0.99199355,1.0,0.9959842
0.042,36.640797,0.40000004,0.4000000059604645,-1.2567387e-10,1.0,0.99199355,1.0,0.9959842
0.044,36.640797,0.40000004,0.4000000059604645,-1.314907e-10,1.0,0.99199355,1.0,0.9959842
0.046,36.640797,0.40000004,0.4000000059604645,-1.3728581e-10,1.0,0.99199355,1.0,0.9959842
0.048,36.640797,0.40000004,0.4000000059604645,-1.4305848e-10,1.0,0.99199355,1.0,0.9959842
0.05,36.640797,0.40000004,0.4000000059604645,-1.4880797e-10,1.0,0.99199355,1.0,0.9959842
0.052,36.640797,0.40000004,0.4000000059604645,-1.5453355e-10,1.0,0.99199355,1.0,0.9959842
0.054,36.640797,0.40000004,0.4000000059604645,-1.6023449e-10,1.0,0.99199355,1.0,0.9959842
0.056,36.640797,0.40000004,0.4000000059604645,-1.6591012e-10,1.0,0.99199355,1.0,0.9959842
0.058,36.640797,0.40000004,0.4000000059604645,-1.7155971e-10,1.0,0.99199355,1.0,0.9959842
0.06,36.640797,0.40000004,0.4000000059604645,-1.7718262e-10,1.0,0.99199355,1.0,0.9959842
0.062,36.640797,0.40000004,0.4000000059604645,-1.8277813e-10,1.0,0.99199355,1.0,0.9959842
0.064,36.640797,0.40000004,0.4000000059604645,-1.8834562e-10,1.0,0.99199355,1.0,0.9959842
0.066,36.640797,0.40000004,0.4000000059604645,-1.9388441e-10,1.0,0.99199355,1.0,0.9959842
0.068,36.640797,0.40000004,0.4000000059604645,-1.9939388e-10,1.0,0.99199355,1.0,0.9959842
0.07,36.640797,0.40000004,0.4000000059604645,-2.0487337e-10,1.0,0.99199355,1.0,0.9959842
0.072,36.640797,0.40000004,0.4000000059604645,-2.1032226e-10,1.0,0.99199355,1.0,0.9959842
